{'Epoch': 92, 'loss': 0.7347,'accuracy': 0.8807 },
{'Epoch': 93, 'loss': 0.7211,'accuracy': 0.8815 },
{'Epoch': 94, 'loss': 0.7071,'accuracy': 0.8820 },
{'Epoch': 95, 'loss': 0.7057,'accuracy': 0.8835 },
{'Epoch': 96, 'loss': 0.7079,'accuracy': 0.8807 },
{'Epoch': 97, 'loss': 0.6991,'accuracy': 0.8812 },
{'Epoch': 98, 'loss': 0.6869,'accuracy': 0.8814 },
{'Epoch': 99, 'loss': 0.6837,'accuracy': 0.8828 },
{'Epoch': 100, 'loss': 0.6758,'accuracy': 0.8841 },
{'Epoch': 101, 'loss': 0.6588,'accuracy': 0.8839 },
{'Epoch': 102, 'loss': 0.6548,'accuracy': 0.8853 },
{'Epoch': 103, 'loss': 0.6556,'accuracy': 0.8837 },
{'Epoch': 104, 'loss': 0.6503,'accuracy': 0.8833 },
{'Epoch': 105, 'loss': 0.6426,'accuracy': 0.8829 },
{'Epoch': 106, 'loss': 0.6404,'accuracy': 0.8845 },
{'Epoch': 107, 'loss': 0.6334,'accuracy': 0.8879 },
{'Epoch': 108, 'loss': 0.6236,'accuracy': 0.8854 },
{'Epoch': 109, 'loss': 0.6229,'accuracy': 0.8859 },
{'Epoch': 110, 'loss': 0.6218,'accuracy': 0.8857 },
{'Epoch': 111, 'loss': 0.6159,'accuracy': 0.8856 },
{'Epoch': 112, 'loss': 0.6068,'accuracy': 0.8862 },
{'Epoch': 113, 'loss': 0.5995,'accuracy': 0.8873 },
{'Epoch': 114, 'loss': 0.6062,'accuracy': 0.8843 },
{'Epoch': 115, 'loss': 0.5945,'accuracy': 0.8870 },
{'Epoch': 116, 'loss': 0.5899,'accuracy': 0.8870 },
{'Epoch': 117, 'loss': 0.5829,'accuracy': 0.8870 },
{'Epoch': 118, 'loss': 0.5800,'accuracy': 0.8876 },
{'Epoch': 119, 'loss': 0.5766,'accuracy': 0.8868 },
{'Epoch': 120, 'loss': 0.5711,'accuracy': 0.8892 },
{'Epoch': 121, 'loss': 0.5692,'accuracy': 0.8864 },
{'Epoch': 122, 'loss': 0.5628,'accuracy': 0.8896 },
{'Epoch': 123, 'loss': 0.5620,'accuracy': 0.8868 },
{'Epoch': 124, 'loss': 0.5643,'accuracy': 0.8870 },
{'Epoch': 125, 'loss': 0.5580,'accuracy': 0.8891 },
{'Epoch': 126, 'loss': 0.5545,'accuracy': 0.8868 },
{'Epoch': 127, 'loss': 0.5455,'accuracy': 0.8875 },
{'Epoch': 128, 'loss': 0.5425,'accuracy': 0.8893 },
{'Epoch': 129, 'loss': 0.5445,'accuracy': 0.8891 },
{'Epoch': 130, 'loss': 0.5347,'accuracy': 0.8903 },
{'Epoch': 131, 'loss': 0.5387,'accuracy': 0.8872 },
{'Epoch': 132, 'loss': 0.5382,'accuracy': 0.8873 },
{'Epoch': 133, 'loss': 0.5309,'accuracy': 0.8895 },
{'Epoch': 134, 'loss': 0.5271,'accuracy': 0.8904 },
